UserID;Age;Gender;Race;Province;Channel2;record_date;record_time;Hour_SA;Day_Name;Time_bucket;Month_name;Duration_Seconds;Age_group
810113;27;male;coloured;Eastern Cape;Africa Magic;2016/02/19;19:01:00;19;Friday;Evening;February;0;26-35
810113;27;male;coloured;Eastern Cape;Trace TV;2016/02/19;11:50:00;11;Friday;Late Morning;February;408;26-35
810113;27;male;coloured;Eastern Cape;Supersport Live Events;2016/02/19;09:26:00;9;Friday;Early Morning;February;8;26-35
810113;27;male;coloured;Eastern Cape;Cartoon Network;2016/02/19;11:49:00;11;Friday;Late Morning;February;0;26-35
810113;27;male;coloured;Eastern Cape;Supersport Live Events;2016/02/19;18:14:00;18;Friday;Late Afternoon;February;0;26-35
810113;27;male;coloured;Eastern Cape;Supersport Live Events;2016/02/19;19:44:00;19;Friday;Evening;February;0;26-35
2422252;41;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/02/19;12:17:00;12;Friday;Late Morning;February;254;36-50
2422252;41;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/02/22;19:00:00;19;Monday;Evening;February;3142;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/02/05;17:51:00;17;Friday;Late Afternoon;February;5764;36-50
2422252;41;male;indian_asian;Gauteng;Africa Magic;2016/02/14;23:58:00;23;Sunday;Late Night;February;35;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/02/02;18:52:00;18;Tuesday;Late Afternoon;February;32;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/02/03;09:52:00;9;Wednesday;Early Morning;February;46;36-50
2422252;41;male;indian_asian;Gauteng;CNN;2016/02/05;06:50:00;6;Friday;Early Morning;February;423;36-50
2422252;41;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/02/24;13:11:00;13;Wednesday;Early Afternoon;February;130;36-50
2422252;41;male;indian_asian;Gauteng;CNN;2016/03/03;19:14:00;19;Thursday;Evening;March;57;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/03/03;22:03:00;22;Thursday;Evening;March;0;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/03/03;22:12:00;22;Thursday;Evening;March;24;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/02/07;17:49:00;17;Sunday;Late Afternoon;February;30;36-50
2422252;41;male;indian_asian;Gauteng;SawSee;2016/02/10;10:45:00;10;Wednesday;Late Morning;February;457;36-50
2422252;41;male;indian_asian;Gauteng;Africa Magic;2016/02/07;22:54:00;22;Sunday;Evening;February;26;36-50
2422252;41;male;indian_asian;Gauteng;MK;2016/02/07;23:00:00;23;Sunday;Late Night;February;27;36-50
2422252;41;male;indian_asian;Gauteng;Supersport Live Events;2016/02/06;07:06:00;7;Saturday;Early Morning;February;44;36-50
2422252;41;male;indian_asian;Gauteng;CNN;2016/03/06;15:00:00;15;Sunday;Early Afternoon;March;83;36-50
2422252;41;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/03/20;11:29:00;11;Sunday;Late Morning;March;6718;36-50
2422252;41;male;indian_asian;Gauteng;CNN;2016/02/09;04:39:00;4;Tuesday;Late Night;February;12;36-50
2422252;41;male;indian_asian;Gauteng;Break in transmission;2016/02/27;20:43:00;20;Saturday;Evening;February;17;36-50
2422252;41;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/03/25;16:10:00;16;Friday;Late Afternoon;March;754;36-50
2422252;41;male;indian_asian;Gauteng;SuperSport Live Events;2016/02/13;02:25:00;2;Saturday;Late Night;February;380;36-50
2422252;41;male;indian_asian;Gauteng;Wimbledon;2016/02/13;13:59:00;13;Saturday;Early Afternoon;February;9;36-50
770384;23;male;black;Gauteng;Cartoon Network;2016/01/31;21:00:00;21;Sunday;Evening;January;0;18-25
770384;23;male;black;Gauteng;Supersport Live Events;2016/03/12;19:35:00;19;Saturday;Evening;March;0;18-25
772912;29;male;white;Eastern Cape;Supersport Live Events;2016/03/11;11:57:00;11;Friday;Late Morning;March;196;26-35
